,cit,zip_code,latitude,longitude,gender,senior_citizen,partner,dependents,tenure_months,phone_service,device_protection,tech_support,paperless_billing,monthly_charges,churn_value,cltv,satisfaction_score,customer_status,churn_categor,referred_a_friend,number_of_referrals,tenure_in_months,offer,avg_monthly_long_distance_charges,internet_type,avg_monthly_gb_download,device_protection_plan,premium_tech_support,streaming_music,unlimited_data,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,age,under_30,number_of_dependents,internet_services,online_security,online_backup_srvc,multiple_line,streaming_tv_srvc,payment_methods,total_charge,contracts,churn_reasons,streaming_movies_srvc
27,Whittier,90606,33.976678,-118.065875,Female,0,1,1,10,1,0,0,1,100.25,1,5998,2,Churned,Price,1,1,10,None,24.48,Fiber Optic,30,0,0,1,1,0.0,0,244.8,1309.45,60,0,2,1,1,0,1,1,Electronic check,1064.65,Month-to-Month,Price too high,1
28,La Habra,90631,33.940619,-117.9513,Male,0,0,1,3,1,0,0,1,74.4,1,4415,1,Churned,Dissatisfaction,0,0,3,Offer E,14.6,Fiber Optic,71,0,0,1,1,8.74,0,43.8,264.61,20,1,2,1,0,0,1,0,Electronic check,229.55,Month-to-Month,Product dissatisfaction,0
29,Pico Rivera,90660,33.989524,-118.089299,Female,1,0,1,27,1,1,0,1,78.05,1,4638,1,Churned,Competitor,0,0,27,Offer C,3.33,Fiber Optic,18,1,0,0,0,0.0,10,89.91,2235.41,70,0,1,1,0,0,1,0,Electronic check,2135.5,Month-to-Month,Competitor had better devices,0
30,Avalon,90704,33.391181,-118.421305,Female,0,1,0,25,0,1,0,1,58.6,1,4190,1,Churned,Attitude,1,6,25,Offer C,0.0,DSL,48,1,0,1,1,4.48,0,0.0,1498.17,20,1,0,1,1,1,0,1,Credit card (automatic),1502.65,Month-to-Month,Attitude of support person,1
31,Harbor City,90710,33.798266,-118.300237,Male,0,0,0,1,0,0,0,1,35.45,1,2301,3,Churned,Dissatisfaction,0,0,1,Offer E,0.0,DSL,22,0,0,1,1,0.0,0,0.0,35.45,60,0,0,1,0,0,0,0,Electronic check,35.45,Month-to-Month,Network reliability,1
32,Lakewood,90712,33.840524,-118.148403,Male,0,0,0,2,1,0,0,0,44.35,1,2570,3,Churned,Other,0,0,2,Offer E,46.84,DSL,3,0,0,0,1,0.0,0,93.68,174.93,40,0,0,1,0,0,0,0,Electronic check,81.25,Month-to-Month,Don't know,0
33,Los Alamitos,90720,33.79499,-118.065591,Female,1,1,1,1,1,0,0,1,70.45,1,3964,2,Churned,Other,1,1,1,Offer E,15.28,Fiber Optic,30,0,0,0,1,0.0,0,15.28,85.73,70,0,2,1,0,0,0,0,Mailed check,70.45,Month-to-Month,Don't know,0
34,San Pedro,90731,33.736387,-118.284363,Female,0,0,0,8,1,0,1,0,71.15,1,2662,1,Churned,Other,0,0,8,Offer E,48.14,DSL,18,0,1,1,1,0.0,0,385.12,948.77,50,0,0,1,1,0,1,0,Electronic check,563.65,Month-to-Month,Don't know,1
35,Carson,90745,33.822295,-118.26411,Male,0,0,0,1,1,0,0,1,45.65,1,2600,1,Churned,Competitor,0,0,1,Offer E,14.12,Cable,24,0,0,0,1,0.0,0,14.12,59.769999999999996,60,0,0,1,0,0,0,0,Electronic check,45.65,Month-to-Month,Competitor had better devices,0
36,Long Beach,90804,33.783047,-118.1486,Male,0,0,1,7,1,0,0,0,95.0,1,2786,1,Churned,Competitor,0,0,7,Offer E,20.52,Cable,28,0,0,1,0,36.6,10,143.64,772.54,30,0,4,1,0,0,1,1,Mailed check,655.5,Month-to-Month,Competitor had better devices,1
37,Altadena,91001,34.196837,-118.142236,Female,0,1,1,20,1,0,0,0,82.4,1,5719,1,Churned,Price,1,5,20,None,36.6,Fiber Optic,51,0,0,1,1,33.43,0,732.0,2290.92,20,1,1,1,1,0,1,0,Electronic check,1592.35,Month-to-Month,Price too high,0
38,Monrovia,91016,34.1528,-118.000482,Female,0,0,1,4,1,0,0,1,70.9,1,4287,1,Churned,Dissatisfaction,0,0,4,Offer E,33.5,Fiber Optic,27,0,0,0,1,8.74,0,134.0,398.26,40,0,1,1,0,0,0,0,Bank transfer (automatic),273.0,Month-to-Month,Product dissatisfaction,0
39,Sierra Madre,91024,34.168686,-118.057505,Male,1,1,0,58,0,1,0,1,45.3,1,5444,1,Churned,Dissatisfaction,1,6,58,Offer B,0.0,DSL,24,1,0,0,1,40.95,0,0.0,2610.25,60,0,0,1,0,1,0,0,Electronic check,2651.2,Month-to-Month,Service dissatisfaction,1
40,Tujunga,91042,34.296574,-118.244839,Female,0,1,1,2,1,1,1,1,104.4,1,4690,3,Churned,Attitude,1,1,2,Offer E,11.51,Fiber Optic,53,1,1,1,1,45.44,0,23.02,220.38000000000002,20,1,3,1,0,0,1,1,Electronic check,242.8,Month-to-Month,Attitude of support person,1
41,Pasadena,91103,34.167465,-118.165327,Female,0,1,0,53,1,1,0,1,94.85,1,4328,1,Churned,Competitor,1,5,53,None,40.62,Fiber Optic,73,1,0,1,1,18.55,0,2152.8599999999997,7134.509999999999,20,1,0,1,0,0,0,1,Bank transfer (automatic),5000.2,One Year,Competitor had better devices,1
42,Pasadena,91106,34.139402,-118.128658,Female,1,0,1,15,1,0,0,1,74.45,1,5717,2,Churned,Dissatisfaction,0,0,15,Offer D,44.07,Fiber Optic,19,0,0,0,1,0.0,0,661.05,1806.75,60,0,2,1,0,0,1,0,Mailed check,1145.7,Month-to-Month,Limited range of services,0
43,Pasadena,91107,34.159007,-118.087353,Female,1,0,1,7,1,0,0,0,76.45,1,4419,2,Churned,Price,0,0,7,Offer E,26.95,Fiber Optic,18,0,0,0,0,11.05,0,188.65,681.2,70,0,2,1,1,0,0,0,Bank transfer (automatic),503.6,Month-to-Month,Lack of affordable download/upload speed,0
44,Glendale,91202,34.167926,-118.267539,Female,0,0,0,1,0,0,0,0,29.95,1,4534,1,Churned,Competitor,0,0,1,Offer E,0.0,DSL,27,0,0,0,1,0.0,0,0.0,29.95,50,0,0,1,0,1,0,0,Bank transfer (automatic),29.95,Month-to-Month,Competitor had better devices,0
45,Glendale,91204,34.136306,-118.26036,Male,0,0,1,8,1,0,0,0,84.5,1,2152,2,Churned,Price,0,0,8,Offer E,25.73,Fiber Optic,19,0,0,1,1,33.21,0,205.84,835.28,50,0,2,1,0,0,1,0,Bank transfer (automatic),662.65,Month-to-Month,Extra data charges,1
46,Glendale,91206,34.162515,-118.203869,Female,0,0,1,13,1,1,0,1,79.25,1,5142,1,Churned,Competitor,0,0,13,None,33.54,Fiber Optic,76,1,0,0,1,48.25,0,436.02,1499.42,40,0,3,1,0,1,0,0,Electronic check,1111.65,Month-to-Month,Competitor had better devices,0
47,Glendale,91207,34.182378,-118.262922,Female,0,1,0,1,0,0,0,1,24.8,1,4851,1,Churned,Dissatisfaction,1,4,1,Offer E,0.0,DSL,29,0,0,1,1,0.0,0,0.0,24.8,20,1,0,1,0,0,0,0,Electronic check,24.8,Month-to-Month,Product dissatisfaction,0
48,Canoga Park,91304,34.224377,-118.632656,Male,0,1,1,6,1,1,0,1,91.0,1,2283,2,Churned,Dissatisfaction,1,5,6,None,42.08,Fiber Optic,29,1,0,1,1,0.0,0,252.48,783.48,30,0,2,1,0,1,0,0,Electronic check,531.0,Month-to-Month,Service dissatisfaction,1
49,Mission Hills,91345,34.266389,-118.459744,Male,0,0,1,1,1,0,0,0,79.9,1,3394,2,Churned,Attitude,0,0,1,None,23.2,Fiber Optic,21,0,0,1,1,0.0,0,23.2,103.10000000000001,60,0,3,1,0,0,0,0,Electronic check,79.9,Month-to-Month,Attitude of support person,1
50,Santa Clarita,91350,34.502432,-118.41459,Female,0,0,1,19,1,1,1,1,106.6,1,3764,1,Churned,Dissatisfaction,0,0,19,None,28.35,Fiber Optic,19,1,1,1,0,21.72,40,538.65,2491.38,40,0,1,1,1,0,0,1,Electronic check,1934.45,Month-to-Month,Network reliability,1
51,Sun Valley,91352,34.231053,-118.338307,Male,0,0,0,2,1,0,0,1,46.0,1,2667,3,Churned,Other,0,0,2,None,49.81,DSL,41,0,0,1,1,0.0,0,99.62,184.12,10,1,0,1,0,0,0,0,Credit card (automatic),84.5,Month-to-Month,Don't know,0
52,Stevenson Ranch,91381,34.364153,-118.615583,Female,0,0,1,4,1,0,0,1,70.15,1,2227,2,Churned,Other,0,0,4,None,29.4,Fiber Optic,17,0,0,0,1,21.69,0,117.6,364.26,30,0,2,1,0,0,0,0,Electronic check,268.35,Month-to-Month,Don't know,0
53,Panorama City,91402,34.223768,-118.445461,Male,0,1,0,4,1,0,1,0,50.05,1,3394,2,Churned,Competitor,1,2,4,None,9.67,Cable,22,0,1,0,1,0.0,0,38.68,218.03,40,0,0,1,0,0,0,0,Mailed check,179.35,Month-to-Month,Competitor made better offer,0
54,Van Nuys,91411,34.17847,-118.459472,Female,0,1,0,1,1,0,0,0,55.2,1,3638,2,Churned,Dissatisfaction,0,0,1,None,35.6,DSL,58,0,0,1,1,0.0,0,35.6,90.80000000000001,20,1,0,1,0,0,0,1,Mailed check,55.2,Month-to-Month,Poor expertise of online support,0
55,Burbank,91504,34.213049,-118.317651,Male,0,0,1,1,1,0,0,1,84.6,1,2484,2,Churned,Dissatisfaction,0,0,1,None,26.85,Fiber Optic,11,0,0,1,1,0.0,0,26.85,111.44999999999999,30,0,1,1,1,0,0,0,Mailed check,84.6,Month-to-Month,Poor expertise of phone support,1
56,North Hollywood,91601,34.1692,-118.372498,Male,0,0,0,2,1,0,0,1,54.4,1,2556,3,Churned,Price,0,0,2,None,44.31,DSL,73,0,0,1,1,0.0,0,88.62,202.72,20,1,0,1,0,1,1,0,Mailed check,114.1,Month-to-Month,Price too high,0
57,North Hollywood,91605,34.207295,-118.400022,Female,1,0,1,11,1,0,0,1,95.0,1,5980,1,Churned,Dissatisfaction,0,0,11,Offer D,11.59,Fiber Optic,29,0,0,0,0,0.0,120,127.49,1367.79,70,0,1,1,0,1,0,1,Electronic check,1120.3,Month-to-Month,Product dissatisfaction,1
58,Covina,91722,34.097345,-117.906736,Male,1,0,0,15,1,0,0,1,74.4,1,4616,1,Churned,Competitor,0,0,15,Offer D,29.11,Fiber Optic,29,0,0,0,1,0.0,0,436.65,1510.9499999999998,60,0,0,1,0,1,0,0,Electronic check,1074.3,Month-to-Month,Competitor had better devices,0
59,Covina,91723,34.084747,-117.886844,Male,0,0,0,1,1,0,0,1,48.55,1,5687,1,Churned,Attitude,0,0,1,None,11.35,DSL,9,0,0,0,1,0.0,0,11.35,59.9,30,0,0,1,1,0,0,0,Mailed check,48.55,Month-to-Month,Attitude of support person,0
60,El Monte,91731,34.079934,-118.046695,Female,0,1,0,2,1,0,0,0,70.4,1,5687,1,Churned,Dissatisfaction,1,1,2,None,46.23,Fiber Optic,21,0,0,0,1,0.0,0,92.46,239.61,40,0,0,1,0,0,0,0,Electronic check,147.15,Month-to-Month,Network reliability,0
61,El Monte,91732,34.074492,-118.01462,Male,1,1,0,1,0,0,0,0,40.2,1,5828,2,Churned,Dissatisfaction,1,1,1,Offer E,0.0,DSL,12,0,0,0,1,0.0,0,0.0,40.2,70,0,0,1,0,1,0,1,Electronic check,40.2,Month-to-Month,Limited range of services,0
62,La Puente,91744,34.031441,-117.936436,Female,0,1,0,2,1,0,0,1,44.6,1,4884,2,Churned,Price,1,3,2,Offer E,30.19,Cable,16,0,0,0,1,0.0,0,60.38,140.93,40,0,0,1,0,0,0,0,Credit card (automatic),80.55,Month-to-Month,Lack of affordable download/upload speed,0
63,La Puente,91746,34.038983,-117.991372,Male,1,0,0,3,0,1,0,1,41.15,1,2314,2,Churned,Price,0,0,3,Offer E,0.0,DSL,28,1,0,1,1,0.0,0,0.0,132.2,60,0,0,1,0,0,0,0,Electronic check,132.2,Month-to-Month,Long distance charges,1
64,Rowland Heights,91748,33.976753,-117.897367,Male,1,0,0,13,1,1,0,1,106.9,1,2494,1,Churned,Competitor,0,0,13,Offer D,32.68,Cable,11,1,0,0,0,0.0,10,424.84,1799.1399999999999,60,0,0,1,0,1,1,1,Electronic check,1364.3,Month-to-Month,Competitor had better devices,1
65,Ontario,91762,34.057256,-117.667677,Male,0,0,0,59,1,0,0,0,19.35,1,5084,3,Churned,Price,0,0,59,None,26.63,None,0,0,0,0,0,14.22,0,1571.1699999999998,2656.5499999999997,50,0,0,0,0,0,0,0,Mailed check,1099.6,Two Year,Price too high,0
66,Ontario,91764,34.074087,-117.605618,Female,1,0,0,16,1,0,1,1,94.45,1,3810,1,Churned,Competitor,0,0,16,Offer D,9.43,Fiber Optic,9,0,1,1,1,0.0,0,150.88,1662.08,60,0,0,1,0,0,0,1,Electronic check,1511.2,Month-to-Month,Competitor had better devices,1
67,Pomona,91766,34.042286,-117.756106,Male,0,0,0,1,0,0,0,0,24.8,1,5087,2,Churned,Dissatisfaction,0,0,1,Offer E,0.0,Cable,29,0,0,0,1,0.0,0,0.0,24.8,50,0,0,1,0,0,0,0,Bank transfer (automatic),24.8,Month-to-Month,Service dissatisfaction,0
68,Pomona,91768,34.067932,-117.785168,Male,0,0,0,1,1,0,0,0,70.6,1,3338,2,Churned,Attitude,0,0,1,Offer E,44.59,Fiber Optic,41,0,0,0,1,0.0,0,44.59,115.19,20,0,0,1,0,0,0,0,Mailed check,70.6,Month-to-Month,Attitude of support person,0
69,Rosemead,91770,34.065108,-118.082791,Male,0,1,0,5,1,0,1,1,85.4,1,3676,3,Churned,Dissatisfaction,1,1,5,Offer E,42.29,Fiber Optic,16,0,1,0,1,45.37,0,211.45,567.1800000000001,50,0,0,1,0,1,1,0,Electronic check,401.1,Month-to-Month,Network reliability,0
70,San Dimas,91773,34.102119,-117.815532,Female,0,1,0,52,1,1,0,1,105.05,1,4839,2,Churned,Other,1,6,52,None,10.59,Fiber Optic,48,1,0,1,1,27.6,0,550.68,6147.93,10,1,0,1,0,1,1,1,Electronic check,5624.85,Month-to-Month,Don't know,1
71,West Covina,91791,34.061634,-117.893169,Male,0,1,0,18,1,1,0,0,95.15,1,4643,3,Churned,Other,1,6,18,None,1.51,Fiber Optic,28,1,0,1,1,10.17,0,27.18,1796.96,50,0,0,1,0,0,0,1,Mailed check,1779.95,Month-to-Month,Don't know,1
72,Alhambra,91803,34.074736,-118.145959,Male,0,1,0,1,1,0,0,0,70.0,1,4094,3,Churned,Other,1,1,1,Offer E,19.15,Fiber Optic,18,0,0,0,0,0.0,10,19.15,99.15,40,0,0,1,0,0,0,0,Electronic check,70.0,Month-to-Month,Don't know,0
73,Alpine,91901,32.827184,-116.703729,Male,1,0,0,8,1,0,0,1,74.5,1,4345,2,Churned,Dissatisfaction,0,0,8,None,1.78,Fiber Optic,7,0,0,0,1,0.0,0,14.24,620.79,60,0,0,1,0,1,0,0,Electronic check,606.55,Month-to-Month,Poor expertise of online support,0
74,Bonita,91902,32.67117,-117.00232,Male,0,0,0,10,1,0,0,1,44.85,1,4061,2,Churned,Competitor,0,0,10,None,49.58,DSL,17,0,0,0,1,0.0,0,495.79999999999995,931.1999999999999,30,0,0,1,0,0,0,0,Credit card (automatic),435.4,Month-to-Month,Competitor made better offer,0
75,Boulevard,91905,32.677097,-116.304991,Male,1,0,0,24,1,0,0,1,76.1,1,2018,2,Churned,Competitor,0,0,24,Offer C,30.87,Fiber Optic,15,0,0,0,1,0.0,0,740.88,2453.58,60,0,0,1,0,0,1,0,Electronic check,1712.7,Month-to-Month,Competitor made better offer,0
76,Guatay,91931,32.857946,-116.561917,Female,0,0,0,1,1,0,0,1,73.6,1,2565,1,Churned,Competitor,0,0,1,None,6.19,Fiber Optic,52,0,0,1,1,0.0,0,6.19,79.78999999999999,20,1,0,1,1,0,0,0,Mailed check,73.6,Month-to-Month,Competitor made better offer,0
77,Jacumba,91934,32.649787,-116.2237,Female,1,0,0,4,1,0,0,1,95.45,1,3677,3,Churned,Competitor,0,0,4,Offer E,31.61,Fiber Optic,2,0,0,0,1,0.0,0,126.44,522.54,70,0,0,1,0,0,1,1,Electronic check,396.1,Month-to-Month,Competitor made better offer,1
78,Mount Laguna,91948,32.830852,-116.444601,Male,1,1,0,32,1,0,0,1,74.9,1,4105,2,Churned,Attitude,1,2,32,Offer C,47.34,Fiber Optic,10,0,0,0,1,0.0,0,1514.88,3818.23,70,0,0,1,0,0,1,0,Electronic check,2303.35,Month-to-Month,Attitude of support person,0
79,Borrego Springs,92004,33.200369,-116.192313,Male,0,0,0,5,1,0,0,1,80.6,1,5715,2,Churned,Competitor,0,0,5,Offer E,5.78,Fiber Optic,52,0,0,0,0,36.44,40,28.900000000000002,448.01,20,0,0,1,0,0,0,1,Electronic check,415.55,Month-to-Month,Competitor made better offer,0
80,Carlsbad,92009,33.098018,-117.258203,Female,0,1,0,38,1,0,1,0,80.3,1,2071,1,Churned,Other,1,1,38,Offer C,42.14,DSL,19,0,1,1,1,0.0,0,1601.32,4659.97,50,0,0,1,1,1,0,1,Credit card (automatic),3058.65,One Year,Don't know,1
81,Del Mar,92014,32.948262,-117.256086,Male,1,1,0,24,1,1,0,1,93.15,1,2212,2,Churned,Competitor,1,1,24,Offer C,16.1,Cable,12,1,0,1,1,0.0,0,386.40000000000003,2617.4500000000003,70,0,0,1,0,0,0,1,Electronic check,2231.05,Month-to-Month,Competitor made better offer,1
82,El Cajon,92020,32.79697,-116.969082,Female,1,0,0,54,1,0,1,0,82.45,1,4149,1,Churned,Competitor,0,0,54,Offer B,12.08,DSL,5,0,1,1,1,0.0,0,652.32,5002.42,60,0,0,1,1,1,1,1,Bank transfer (automatic),4350.1,One Year,Competitor made better offer,1
83,Escondido,92029,33.079834,-117.134275,Female,1,0,0,2,1,0,0,1,70.35,1,2671,3,Churned,Other,0,0,2,Offer E,13.17,Fiber Optic,10,0,0,0,1,0.0,0,26.34,165.39000000000001,70,0,0,1,0,0,0,0,Electronic check,139.05,Month-to-Month,Don't know,0
84,Oceanside,92057,33.254497,-117.285879,Female,0,0,0,7,1,0,0,1,73.85,1,2473,3,Churned,Competitor,0,0,7,None,28.62,Fiber Optic,26,0,0,1,1,13.03,0,200.34,698.5600000000001,20,1,0,1,0,0,1,0,Electronic check,511.25,Month-to-Month,Competitor made better offer,0
85,Pala,92059,33.384345,-117.072619,Female,0,0,0,2,1,1,0,0,80.6,1,2683,1,Churned,Competitor,0,0,2,None,5.32,Fiber Optic,20,1,0,0,1,0.0,0,10.64,166.44,50,0,0,1,0,0,1,0,Mailed check,155.8,Month-to-Month,Competitor made better offer,0
86,Palomar Mountain,92060,33.309852,-116.823091,Male,0,1,0,68,1,1,1,1,75.8,1,4903,3,Churned,Competitor,1,1,68,Offer A,29.18,DSL,18,1,1,1,0,0.0,90,1984.24,7368.19,60,0,0,1,0,1,1,0,Bank transfer (automatic),5293.95,One Year,Competitor made better offer,1
